ngram,mean_abs_shap
you,0.3907200500010983
your,0.15369972080864025
the,0.11355887016519477
talk,0.09266197448924393
to,0.09155612506045958
is,0.08504212811888212
in,0.0846855511352005
are,0.0735729857548803
for,0.06575478962728853
fuck,0.0653793989577508
please,0.06483944124047367
thanks,0.06160202566499977
me,0.05550391839804077
my,0.05421985398526722
article,0.05381084988638633
but,0.052154028870699504
at,0.049689545244962885
if,0.04689896852449985
asshole,0.04642497872629508
wikipedia,0.04632679740960289
